type;skz;desc;coords;street;zip;city;keeper;classes;pupils;male;female
GKS;601960;Drumbl Akademie für Aus- und Weiterbildung GmbH - Ausbildungen im Gesundheitswesen;1721057.83,5949821.43;Emil-Ertl-Gasse 69;8041;Graz;privat;0;93;4;89
GKS;601970;BFI Steiermark GmbH - Ausbildungen im Gesundheitsbereich;1716464.51,5954023.12;Keplerstraße 109;8020;Graz;privat;0;106;19;87
GKS;601980;Österreichischer Gesundheits- und Krankenpflegeverband - Ausbildungen im Gesundheitsbereich;1714063.61,5954921.82;Göstinger Straße 24;8021;Graz;privat;0;61;7;54
NMSH;603012;Mittelschule;1693436.05,5912090.59;Schulgasse 16;8530;Deutschlandsberg;öffentl.;20;414;208;206
PS;603014;Polytechnische Schule;1698565.42,5925018.24;Sauerbrunnstraße 33;8510;Stainz;öffentl.;1;16;10;6
AHS;603016;Bundesgymnasium und Bundes-Oberstufenrealgymnasium;1694685.75,5912934.6;Lagergasse 11;8530;Deutschlandsberg;öffentl.;23;465;156;309
VS;603021;Volksschule;1693531.86,5912104.52;Schulgasse 10;8530;Deutschlandsberg;öffentl.;9;166;91;75
BS;603025;Landesberufsschule 1;1696836.02,5890756.71;Eibiswald 229;8552;Eibiswald;öffentl.;73;1721;1505;216
VS;603031;Volksschule;1697574.7,5891315.61;Eibiswald 56;8552;Eibiswald;öffentl.;10;197;94;103
NMSH;603032;Mittelschule;1696841.82,5891410.88;Aichberg 4;8552;Eibiswald;öffentl.;12;232;112;120
PS;603034;Polytechnische Schule;1693414.29,5912321.08;Dr.-Hans-Kloepferweg 2;8530;Deutschlandsberg;öffentl.;2;48;38;10
NMSH;603042;Mittelschule;1704188.29,5913584.76;Am Schulweg 11;8522;Groß Sankt Florian;öffentl.;8;179;105;74
VS;603051;Volksschule;1698482.01,5913860.12;Schulgasse 5;8523;Frauental an der Laßnitz;öffentl.;8;126;75;51
NMSH;603052;Mittelschule;1714376.83,5918981.54;Schulweg 4;8504;Preding;öffentl.;9;170;93;77
VS;603061;Volksschule;1694560.16,5920765.61;Bad Gams 3;8524;Deutschlandsberg;öffentl.;6;100;51;49
NMSH;603062;Mittelschule;1698632.59,5930903.42;Sankt Stefan ob Stainz 160;8511;Sankt Stefan ob Stainz;öffentl.;8;165;81;84
NMSH;603072;Mittelschule;1692094.56,5902922.41;Mainsdorfer Straße 18;8541;Bad Schwanberg;öffentl.;9;170;86;84
NMSH;603082;Mittelschule;1698555.07,5924980.78;Badgasse 24;8510;Stainz;öffentl.;12;269;143;126
VS;603091;Volksschule;1704880.29,5913376.05;Oberer Markt 6;8522;Groß Sankt Florian;öffentl.;8;115;53;62
NMSH;603092;Mittelschule;1699923.71,5896223.96;Marktplatz 4;8551;Wies;öffentl.;11;206;117;89
VS;603111;Volksschule;1694021.48,5907908.81;Hollenegg 4;8530;Bad Schwanberg;öffentl.;5;88;44;44
VS;603121;Volksschule;1680815.15,5923950.98;Kloster 42;8530;Deutschlandsberg;öffentl.;2;33;11;22
VS;603141;Volksschule;1706575.29,5932737.21;Schulgasse 8;8502;Lannach;öffentl.;8;132;89;43
VS;603171;Volksschule;1693797.97,5928059.29;Marhof 49;8510;Stainz;öffentl.;2;41;19;22
VS;603181;Volksschule Stainztal;1707064.89,5920236.19;Metterndorf 46;8504;Stainz;öffentl.;3;50;22;28
VS;603201;Volksschule;1703130.41,5897797.49;Schulstraße 12;8544;Pölfing-Brunn;öffentl.;4;55;27;28
VS;603211;Volksschule;1714340.56,5919053.85;Schulweg 2;8504;Preding;öffentl.;5;82;42;40
VS;603231;Volksschule;1699840.64,5918897.31;Rassach;8510;Stainz;öffentl.;4;60;28;32
VS;603281;Volksschule;1707222.22,5927402.9;Sankt Josef 142;8503;Sankt Josef (Weststeiermark);öffentl.;4;80;42;38
VS;603311;Volksschule;1703152.19,5902300.82;Dörfla 55;8543;Sankt Martin im Sulmtal;öffentl.;4;67;34;33
VS;603321;Volksschule;1685914.88,5894549.58;Sankt Oswald ob Eibiswald 35;8553;Eibiswald;öffentl.;2;34;15;19
VS;603331;Volksschule;1697468.32,5902230.5;Sankt Peter im Sulmtal 25;8542;Sankt Peter im Sulmtal;öffentl.;2;35;15;20
VS;603341;Volksschule;1698557.43,5930919.6;Sankt Stefan 160a;8511;Sankt Stefan ob Stainz;öffentl.;8;145;82;63
VS;603351;Volksschule;1705480.76,5895718.13;Kopreiniggasse 51;8543;Sankt Ulrich in Greith;öffentl.;2;31;19;12
VS;603361;Volksschule;1692218.41,5902401.97;Schulgasse 11;8541;Bad Schwanberg;öffentl.;5;88;52;36
VS;603391;Volksschule;1698655.15,5925028.44;Sauerbrunnstraße 29;8510;Stainz;öffentl.;8;146;83;63
VS;603411;Volksschule;1686567.36,5913428.84;Trahütten / Nikolausweg 1;8530;Deutschlandsberg;öffentl.;2;34;22;12
BMHSK;603418;Bundeshandelsakademie und Bundeshandelsschule;1694685.75,5912934.6;Lagergasse 11;8530;Deutschlandsberg;öffentl.;9;188;90;98
VS;603421;Volksschule;1692833.05,5895720.8;Wernersdorf 54;8551;Wies;öffentl.;1;23;12;11
BMHSW;603429;Höhere Bundeslehranstalt für wirtschaftliche Berufe;1694685.75,5912934.6;Lagergasse 11;8530;Deutschlandsberg;öffentl.;22;465;79;386
VS;603431;Volksschule;1712881.8,5914800.22;Wettmannstätten 120;8521;Wettmannstätten;öffentl.;4;66;37;29
VS;603441;Volksschule;1699968.74,5896196.99;Marktplatz 3;8551;Wies;öffentl.;8;125;56;69
VS;603461;Volksschule;1692698.46,5917272.24;Wildbachfeld 37;8530;Deutschlandsberg;öffentl.;8;113;56;57
ASTAT;603471;Privatschule Sternschule der Evangelischen Stiftung der Gräfin Elvine de La Tour;1693585.76,5912623.78;Wildbacherstraße 3;8530;Deutschlandsberg;privat;6;100;51;49
LFMS;603710;Fachschule für Land- und Ernährungswirtschaft;1699265.29,5896343.19;Am Schlossberg 11;8551;Wies;öffentl.;4;77;6;71
LFMS;603730;Land- und forstwirtschaftliche Fachschule;1698080.55,5923574.87;Brandhofstraße 1;8510;Stainz;öffentl.;6;157;125;32
GKS;603920;BFI Deutschlandsberg - Ausbildungen im Gesundheitsbereich;1694635.18,5912810.03;Lichtensteinstraße 46;8530;Deutschlandsberg;privat;0;7;null;7
NMSH;606012;Mittelschule (Peter-Tunner-Schule);1707371.71,5974030.54;Schulgasse 1;8121;Deutschfeistritz;öffentl.;13;276;137;139
AHS;606016;Bundesgymnasium;1701448.61,5964150.59;Rein 1;8103;Gratwein-Straßengel;öffentl.;33;731;327;404
VS;606021;Volksschule;1707459.52,5974101.19;Schulgasse 3;8121;Deutschfeistritz;öffentl.;8;176;87;89
NMSH;606022;Mittelschule;1736441.49,5961906.55;Schulgasse 3;8063;Eggersdorf bei Graz;öffentl.;13;260;152;108
PS;606024;Polytechnische Schule;1707377.23,5974103.08;Schulgasse 5;8121;Deutschfeistritz;öffentl.;3;71;47;24
AHS;606026;Privatschule De La Tour Oberstufenrealgymnasium Seiersberg der Evangelischen Stiftung der Gräfin Elvine de La Tour;1714937.57,5943981.57;Haushamerstraße 9;8054;Seiersberg-Pirka;privat;4;65;21;44
VS;606031;Volksschule;1711996.4,5933501.43;Dobl, Schulweg 2;8143;Dobl-Zwaring;öffentl.;7;114;55;59
NMSH;606032;Mittelschule;1719331.36,5943962.9;Triester Straße 53;8073;Feldkirchen bei Graz;öffentl.;13;249;121;128
PS;606034;Polytechnische Schule;1736441.49,5961906.55;Schulgasse 3;8063;Eggersdorf bei Graz;öffentl.;2;30;23;7
VS;606041;Volksschule;1736544.2,5962042;Kirchplatz 3;8063;Eggersdorf bei Graz;öffentl.;14;287;158;129
NMSH;606042;Mittelschule;1705424.51,5986128.73;Schulweg 3;8130;Frohnleiten;öffentl.;9;190;98;92
PS;606044;Polytechnische Schule;1708281,5964006.9;Schulgasse 8;8101;Gratkorn;öffentl.;2;27;19;8
VS;606051;Volksschule Eisbach-Rein;1701722.33,5964587.32;Hörgas 131;8103;Gratwein-Straßengel;öffentl.;4;71;38;33
NMSH;606052;Mittelschule;1708281,5964006.9;Schulgasse 6;8101;Gratkorn;öffentl.;8;115;65;50
VS;606061;Volksschule;1719290.47,5943965.28;Triesterstraße 51 A;8073;Feldkirchen bei Graz;öffentl.;14;300;146;154
VS;606071;Volksschule Marianne Graf Volksschule;1725713.66,5937550.5;Fernitz, Sportplatzstraße 27;8072;Fernitz-Mellach;öffentl.;8;138;74;64
NMSH;606072;Mittelschule;1727158.93,5940655.71;Hauptstraße 50;8071;Hausmannstätten;öffentl.;14;305;160;145
NMSH;606082;Mittelschule;1703516.27,5948068.64;Hitzendorf 120;8151;Hitzendorf;öffentl.;13;285;155;130
VS;606091;Volksschule;1705485.48,5986121.03;Schulweg 1;8130;Frohnleiten;öffentl.;11;232;118;114
NMSH;606092;Mittelschule (Dr. Adolf Schärf);1723022.32,5935840.53;Fritz Matzner Weg 5;8401;Kalsdorf bei Graz;öffentl.;11;248;141;107
NMSH;606102;Mittelschule;1735406.86,5954454.74;Hauptstraße 75;8301;Laßnitzhöhe;öffentl.;15;362;206;156
PS;606104;Polytechnische Schule;1723022.32,5935840.53;Fritz Matzner Weg 5;8401;Kalsdorf bei Graz;öffentl.;3;70;46;24
NMSH;606112;Mittelschule;1746427.76,5945153.2;Markt 15;8323;Sankt Marein bei Graz;öffentl.;6;94;47;47
VS;606121;Volksschule;1723613.83,5942469.7;Schulstraße 3;8077;Gössendorf;öffentl.;13;223;120;103
NMSH;606122;Mittelschule;1714886.65,5978121.81;Schulstraße 25;8102;Semriach;öffentl.;8;129;70;59
VS;606131;Volksschule;1708245.15,5964183.39;Dr.-Karl-Renner-Straße 18;8101;Gratkorn;öffentl.;15;288;158;130
NMSH;606132;Mittelschule;1714287.75,5937191.74;Schulstraße 6;8141;Premstätten;öffentl.;13;281;146;135
NMSH;606142;Private Mittelschule des Schulvereins der Barmherzigen Schwestern Schloss Dobl;1711810.9,5933553.02;Dobl, Oberberg 3 - 5;8143;Dobl-Zwaring;privat;16;397;175;222
VS;606151;Volksschule;1705167.17,5963475.91;Gratwein, Schulgasse 11;8112;Gratwein-Straßengel;öffentl.;9;169;95;74
NMSH;606152;Mittelschule und Musikmittelschule;1705139.65,5963615.18;Schulgasse 10;8112;Gratwein-Straßengel;öffentl.;14;309;148;161
ASTAT;606162;Privatschule De-La-Tour-Schule Seiersberg der Evangelischen Stiftung der Gräfin Elvine de La Tour;1714937.57,5943981.57;Haushamerstraße 9;8054;Seiersberg-Pirka;privat;8;161;73;88
VS;606171;Volksschule Gschwendt;1733657.8,5971327.97;Gschwendterstraße 73;8062;Kumberg;öffentl.;2;32;19;13
VS;606181;Volksschule;1727166.19,5940505.76;Hauptstraße 50a;8071;Hausmannstätten;öffentl.;14;274;158;116
VS;606191;Volksschule;1703466.88,5948005.66;Hitzendorf 4;8151;Hitzendorf;öffentl.;13;263;144;119
VS;606201;Volksschule;1707220.91,5960774.22;Schulstraße 3;8111;Gratwein-Straßengel;öffentl.;12;241;140;101
VS;606211;Volksschule;1732330.54,5956943.25;Hönigtal, Schulstraße 19;8301;Kainbach bei Graz;öffentl.;8;146;82;64
VS;606221;Volksschule;1718482.73,5965376.22;Kalkleitenstraße 13;8045;Graz-Andritz;öffentl.;4;59;34;25
VS;606231;Volksschule;1722826.72,5935605.72;Johann-Pauker-Gasse 7;8401;Kalsdorf bei Graz;öffentl.;17;378;190;188
VS;606241;Volksschule;1740572.58,5945165.15;Krumegg 11;8323;Sankt Marein bei Graz;öffentl.;3;51;26;25
VS;606251;Volksschule;1729722.72,5967836.95;Hauptstraße 23;8062;Kumberg;öffentl.;8;155;83;72
VS;606271;Volksschule;1707242.99,5937901.67;Hitzendorferstraße 2;8501;Lieboch;öffentl.;11;208;123;85
VS;606281;Volksschule Mellach;1726624.29,5930601.7;Dillachstraße 18;8072;Fernitz-Mellach;öffentl.;4;68;35;33
VS;606291;Volksschule;1737717.08,5951677.11;Schulstraße 4;8302;Nestelbach bei Graz;öffentl.;10;215;95;120
VS;606311;Volksschule;1725137.55,5965357.54;Niederschöcklstraße 44a;8044;Weinitzen;öffentl.;7;110;52;58
VS;606321;Volksschule;1727782.89,5949522.4;Pachern Hauptstraße 97;8075;Hart bei Graz;öffentl.;11;195;100;95
VS;606331;Volksschule;1708098.44,5976124.03;Brucker Straße 8;8120;Peggau;öffentl.;6;104;62;42
VS;606341;Volksschule;1715601.83,5927569.88;Zwaring 86;8142;Dobl-Zwaring;öffentl.;4;59;39;20
VS;606371;Volksschule;1698265.4,5953222.84;Sankt Bartholomä 60;8113;Sankt Bartholomä;öffentl.;4;80;40;40
VS;606381;Volksschule;1746427.76,5945153.2;Markt 15;8323;Sankt Marein bei Graz;öffentl.;8;112;51;61
VS;606391;Volksschule;1701030.94,5956387.5;Sankt Oswald 71;8113;Sankt Oswald bei Plankenwarth;öffentl.;6;89;41;48
VS;606411;Volksschule;1724108.51,5971143.86;Kalvarienbergstraße 15;8061;Sankt Radegund bei Graz;öffentl.;4;80;47;33
BMHST;606417;Werkmeisterschule für Berufstätige für Bauwesen des Vereins Bauakademie Steiermark;1695298.39,5979412.4;Gleinalmstraße 73;8124;Übelbach;privat;4;78;78;0
VS;606431;Volksschule;1699245.88,5959895.51;Schirning 84;8112;Gratwein-Straßengel;öffentl.;2;44;31;13
VS;606451;Volksschule;1714450.32,5977671.02;Kirchengasse 5;8102;Semriach;öffentl.;8;140;80;60
VS;606461;Volksschule Stattegg;1716362.11,5965598.06;Schulweg 1;8046;Stattegg;öffentl.;7;109;53;56
VS;606471;Volksschule;1693868.46,5958866.99;Stiwoll 148;8113;Stiwoll;öffentl.;2;29;14;15
VS;606481;Volksschule Arnold Schwarzenegger Volksschule Thal;1710040.83,5954451.12;Am Kirchberg 1;8051;Thal;öffentl.;7;110;61;49
VS;606491;Volksschule;1710176.57,5939458.43;Tobelbad, Badstraße 3;8144;Haselsdorf-Tobelbad;öffentl.;7;115;68;47
VS;606501;Volksschule Übelbach;1696263.15,5978939.25;Gleinalmstraße 120;8124;Übelbach;öffentl.;4;73;42;31
VS;606511;Volksschule;1714287.75,5937191.74;Schulstraße 6;8141;Premstätten;öffentl.;14;270;132;138
VS;606521;Volksschule JENAPLAN-Volksschule;1732386.63,5945124.46;Gemeindestraße 26;8076;Vasoldsberg;öffentl.;8;144;83;61
VS;606531;Volksschule;1701942.72,5978520.69;Übelbacherstraße 186;8122;Deutschfeistritz;öffentl.;2;27;15;12
VS;606541;Volksschule;1723549.04,5929311.23;Erzherzog-Johann-Straße 5;8402;Werndorf;öffentl.;7;114;53;61
VS;606551;Volksschule;1719721.35,5929760.85;Kalvarienbergstraße 7;8142;Wundschuh;öffentl.;4;77;46;31
VS;606561;Volksschule;1714836.36,5943956.34;Haushamer Straße 5;8054;Seiersberg-Pirka;öffentl.;16;353;187;166
VS;606571;Volksschule;1725257.77,5947186.88;Franz-Schedlbauer-Weg 39;8074;Raaba-Grambach;öffentl.;10;196;116;80
VS;606591;Volksschule;1713531.48,5941677.46;Schulgasse 20;8054;Seiersberg-Pirka;öffentl.;8;172;94;78
ASTAT;606601;Privatschule Hügellandschule der  Evangelischen Stiftung der Gräfin Elvine de La Tour;1732386.63,5945124.46;Gemeindestraße 26;8076;Vasoldsberg;privat;8;134;77;57
VS;606611;Private Volksschule des Schulvereins der Barmherzigen Schwestern Schloss Dobl;1711810.9,5933553.02;Dobl, Oberberg 5;8143;Dobl-Zwaring;privat;4;63;27;36
GKS;606920;Schule für allgemeine Gesundheits- und Krankenpflege am LKH Bruck/Mur;1706023.49,5986039.38;Josef-Oritis-Straße 5;8130;Frohnleiten;öffentl.;0;205;29;176
GKS;606940;EMG Akademie für Gesundheit GmbH & Co KG - Schule für Gesundheits- und Krankenpflege;1718539.55,5938901.83;Waldweg 6;8401;Kalsdorf;privat;0;764;141;623
VS;610011;Volksschule;1731175.28,5927816.97;Allerheiligen 170;8412;Allerheiligen bei Wildon;öffentl.;4;83;45;38
NMSH;610012;Mittelschule;1713579.54,5889138.54;Arnfels 190;8454;Arnfels;öffentl.;8;131;74;57
SS;610013;Allgemeine Sonderschule;1730058.15,5905973.33;Lastenstraße 12;8430;Leibnitz;öffentl.;1;10;8;2
BS;610015;Landesberufsschule;1714018.94,5888978.24;Hardegger Straße 160;8454;Arnfels;öffentl.;63;1330;1234;96
AHS;610016;Bundesgymnasium und Bundesrealgymnasium;1730103.08,5905838.26;Wagnastraße 6;8430;Leibnitz;öffentl.;49;1229;568;661
VS;610021;Volksschule;1714612.59,5889334;Schulgasse 43;8454;Arnfels;öffentl.;4;69;43;26
NMSH;610022;Mittelschule;1731906.31,5896839.73;Erzherzog Johann Weg 160;8462;Gamlitz;öffentl.;7;116;65;51
PS;610024;Polytechnische Schule;1730152.55,5906215.03;Karl-Morre-Gasse 16;8430;Leibnitz;öffentl.;4;88;55;33
VS;610031;Volksschule;1734495.46,5897580.66;Georgigasse 205;8461;Ehrenhausen an der Weinstrße;öffentl.;4;67;36;31
NMSH;610032;Mittelschule;1710567.92,5902044.6;Gleinstätten 149;8443;Gleinstätten;öffentl.;7;132;66;66
PS;610034;Polytechnische Schule;1710567.92,5902044.6;Gleinstätten 149;8443;Gleinstätten;öffentl.;2;37;25;12
VS;610041;Volksschule;1736588.61,5941637.6;Empersdorf 1;8081;Heiligenkreuz am Waasen;öffentl.;4;55;34;21
NMSH;610042;Mittelschule;1718512.07,5899225.93;Großklein 69;8452;Großklein;öffentl.;13;268;124;144
VS;610051;Volksschule Frauenberg;1728127.15,5905979.03;Seggauberg 5;8430;Leibnitz;öffentl.;3;52;28;24
NMSH;610052;Mittelschule;1734692.09,5935346.53;Schulstraße 30;8081;Heiligenkreuz am Waasen;öffentl.;12;236;135;101
VS;610061;Volksschule;1734803.6,5905460.77;Gabersdorf 101;8424;Gabersdorf;öffentl.;4;65;45;20
NMSH;610062;Mittelschule (Eduard Staudinger);1730198.75,5905852.3;Wagnastraße 7;8430;Leibnitz;öffentl.;10;239;117;122
VS;610071;Volksschule;1731282.56,5896590.25;Obere Hauptstraße 44;8462;Gamlitz;öffentl.;8;135;76;59
NMSH;610072;Mittelschule II;1730161.83,5906195.08;Karl-Morre-Gasse 14;8430;Leibnitz;öffentl.;11;234;137;97
VS;610081;Volksschule;1710754.1,5901679.8;Gleinstätten 1;8443;Gleinstätten;öffentl.;5;92;45;47
NMSH;610082;Mittelschule;1721475.66,5887838.56;Klostergasse 2;8463;Leutschach an der Weinstraße;öffentl.;7;109;56;53
VS;610091;Volksschule;1731396.8,5911833.07;Schulstraße 5;8431;Gralla;öffentl.;8;115;70;45
NMSH;610092;Mittelschule (Graf Attems);1739680.12,5897989.67;Attemsallee 2;8472;Straß in Steiermark;öffentl.;10;227;116;111
VS;610101;Volksschule;1718832.66,5899060.04;Großklein 9;8452;Großklein;öffentl.;6;100;54;46
NMSH;610102;Mittelschule;1727574.5,5923001.67;Unterhaus, Alte Reichsstraße 6;8410;Wildon;öffentl.;8;168;76;92
NMSH;610112;Mittelschule;1742708.73,5916669.02;Wolfsberg im Schwarzautal 124;8421;Schwarzautal;öffentl.;5;98;52;46
VS;610121;Volksschule;1734674.74,5935283.05;Schulstraße 28;8081;Heiligenkreuz am Waasen;öffentl.;8;165;89;76
NMSH;610122;Mittelschule;1728831.29,5918490.88;Bahnhofstraße 24;8403;Lebring-Sankt Margarethen;öffentl.;9;188;84;104
VS;610131;Volksschule;1724147.04,5901868.75;Am Schutzengelberg 9;8451;Heimschuh;öffentl.;5;86;42;44
NMSH;610132;Mittelschule;1734606.27,5897585.79;Georgigasse 270;8461;Ehrenhausen an der Weinstraße;öffentl.;4;64;43;21
VS;610141;Volksschule;1719866.76,5920638.06;Hengsberg 7;8411;Hengsberg;öffentl.;5;95;55;40
NMSH;610142;Mittelschule;1733828.3,5921760.6;St. Georgen a.d. Stiefing 115;8413;Sankt Georgen an der Stiefing;öffentl.;4;72;40;32
VS;610161;Volksschule;1729952.97,5908171.62;Sulmhofsiedlung 4;8430;Leibnitz;öffentl.;8;130;64;66
VS;610171;Volksschule;1720216.48,5906857.23;Steinriegel 67;8442;Kitzeck im Sausal;öffentl.;2;27;12;15
VS;610181;Volksschule;1725757.68,5915691.33;Lang 10;8403;Lang;öffentl.;4;66;35;31
VS;610191;Volksschule;1730284.8,5885095.81;Langegg 5;8463;Leutschach an der Weinstraße;öffentl.;2;36;19;17
VS;610201;Volksschule;1736432.49,5914145.57;Laubegg;8413;Ragnitz;öffentl.;4;68;42;26
VS;610211;Volksschule;1729143.41,5919090.83;Grazerstraße 25;8403;Lebring-Sankt Margarethen;öffentl.;6;93;46;47
VS;610221;Volksschule 1 Leibnitz;1730058.15,5905973.33;Lastenstraße 12;8430;Leibnitz;öffentl.;9;146;80;66
VS;610231;Volksschule Leibnitz-Linden;1731169.15,5907144.6;Richard Wagner-Weg 29;8430;Leibnitz;öffentl.;11;210;109;101
VS;610241;Volksschule;1721497.79,5887966.19;Klostergasse 10;8463;Leutschach an der Weinstraße;öffentl.;4;89;52;37
VS;610261;Volksschule;1706656.68,5890875.77;Oberhaag 119;8455;Oberhaag;öffentl.;3;53;23;30
VS;610271;Volksschule;1733262.11,5891183.54;Ratsch an der Weinstraße 35;8461;Ehrenhausen an der Weinstrße;öffentl.;1;14;7;7
VS;610281;Volksschule;1733087.44,5899444.28;Retznei 36;8461;Ehrenhausen an der Weinstrße;öffentl.;3;47;25;22
VS;610291;Volksschule;1711864.39,5908130.66;Sankt Andrä im Sausal 3;8444;Sankt Andrä-Höch;öffentl.;4;58;34;24
VS;610301;Volksschule;1733783.2,5921835.64;Sankt Georgen/Stiefing 130;8413;Sankt Georgen an der Stiefing;öffentl.;5;74;36;38
VS;610311;Volksschule;1714264.05,5893789.39;St. Johann im Saggautal 68;8453;Sankt Johann im Saggautal;öffentl.;4;70;46;24
VS;610321;Volksschule;1743468.99,5912226.41;Sankt Nikolai ob Draßling 128;8422;Sankt Veit in der Südsteiermark;öffentl.;2;42;27;15
VS;610331;Volksschule;1719648.38,5913026.65;Sankt Nikolai im Sausal 35;8505;Sankt Nikolai im Sausal;öffentl.;7;108;51;57
VS;610351;Volksschule;1739412.78,5901344.83;Schulstraße 11;8423;Sankt Veit in der Südsteiermark;öffentl.;6;94;51;43
VS;610361;Volksschule;1739503.14,5894887.08;Schlossgasse 3;8472;Spielfeld;öffentl.;2;36;18;18
VS;610371;Volksschule;1739738.38,5898039.19;Attemsallee 2b;8472;Straß in Steiermark;öffentl.;9;153;63;90
VS;610381;Volksschule;1727496.42,5911467.67;Schulweg 1;8434;Tillmitsch;öffentl.;8;128;81;47
VS;610391;Volksschule;1727441.68,5923153.88;Alte Reichsstraße 3b;8410;Wildon;öffentl.;10;210;107;103
VS;610401;Volksschule;1742802.97,5916549.92;Wolfsberg im Schwarzautal 16;8421;Schwarzautal;öffentl.;5;86;53;33
BMHSK;610428;Bundeshandelsakademie und Bundeshandelsschule;1729287.66,5906078.96;Klostergasse 18;8430;Leibnitz;öffentl.;15;310;122;188
VS;610431;Volksschule;1731525.98,5903870.07;Gemeindehausstraße 7;8435;Wagna;öffentl.;10;189;89;100
BMHST;610437;Höhere technische Bundeslehranstalt;1730046.75,5909716.05;Kaindorf, Grazer Straße 202;8430;Leibnitz;öffentl.;36;916;815;101
ASTAT;610441;Privatschule de la Tour Schule Sonnenhaus der Evangelischen Stiftung der Gräfin Elvine de la Tour;1730853.13,5904820.8;Wagnastraße 43a;8430;Leibnitz;privat;4;66;30;36
VS;610451;Volksschule;1750116.52,5902066.67;Weinburg am Saßbach 55;8481;Sankt Veit in der Südsteiermark;öffentl.;2;25;13;12
VS;610461;Volksschule;1747190.62,5895402.92;Schulweg 9;8473;Lichendorf;öffentl.;4;65;29;36
BMHST;610477;Private Werkmeisterschule für Berufstätige für Maschinenbau-Betriebstechnik der bfi Steiermark gGmbH;1729891.61,5907613.51;Dechant-Thaller-Straße 39/2;8430;Leibnitz;privat;1;16;12;4
LFMS;610720;Land- und forstwirtschaftliche Fachschule Silberberg;1726949.81,5906092.56;Silberberg 1;8430;Leibnitz;öffentl.;3;84;68;16
LFMS;610760;Fachschule für Land- und Ernährungswirtschaft;1732011.16,5924774.55;Neudorf 17;8410;Wildon;öffentl.;5;134;24;110
GKS;610930;BFI Leibnitz - Pflegeassistenzlehrgang und Ausbildung zum Heilmasseur;1730084.14,5906069.03;Wagnastraße 1/2;8430;Leibnitz;privat;0;88;6;82
PS;611014;Polytechnische Schule Bildungszentrum Pestalozzi;1679033.43,6003349.17;Kerpelystraße 13;8700;Leoben;öffentl.;3;52;31;21
AHS;611016;Bundesgymnasium und Bundesrealgymnasium;1680081.87,6003377.08;Moserhofstraße 5;8700;Leoben;öffentl.;30;719;321;398
NMSH;611022;Musik-, Sport- und Ski-Mittelschule;1656921.98,6031328.77;Radmeisterstraße 4-6;8790;Eisenerz;öffentl.;11;132;80;52
AHS;611026;Bundes-Oberstufenrealgymnasium;1654709.13,6034149.88;Hieflauerstraße 89;8790;Eisenerz;öffentl.;4;88;22;66
VS;611031;Volksschule Eisenerz;1656933.53,6031265.77;Radmeisterstraße 2;8790;Eisenerz;öffentl.;5;86;40;46
VS;611041;Josef Krainer-Volksschule;1666478.29,6009753.31;Gai 1;8793;Trofaiach;öffentl.;5;78;48;30
NMSH;611042;Mittelschule Pestalozzi Leoben;1679033.43,6003349.17;Kerpelystraße 13;8700;Leoben;öffentl.;8;174;99;75
PS;611044;Polytechnische Schule;1656990.3,6031234.96;Schulstraße 3;8790;Eisenerz;öffentl.;1;18;13;5
AHS;611046;Bundesgymnasium und Bundesrealgymnasium;1680039.01,6003254.54;Moserhofstraße 7a;8700;Leoben;öffentl.;19;397;190;207
VS;611061;Volksschule;1642980.01,6011687.94;Marktstraße 71;8775;Kalwang;öffentl.;2;29;13;16
NMSH;611062;Mittelschule Leoben-Stadt;1679736.72,6004538.9;Erzherzog Johann Straße 1;8700;Leoben;öffentl.;13;279;141;138
NMSH;611072;Mittelschule;1650222.02,6007334.86;Klostergasse 7a;8774;Mautern in Steiermark;öffentl.;6;100;54;46
VS;611081;Volksschule;1662581.43,5992440.84;Kirchplatz 7;8714;Kraubath an der Mur;öffentl.;3;45;19;26
NMSH;611082;Mittelschule;1672313.78,5997241.03;Kirchgasse 6;8770;Sankt Michael in Obersteiermark;öffentl.;7;114;57;57
NMSH;611092;Mittelschule I (Franz Jonas);1670190.93,6012134.96;Gössgrabenstraße 17;8793;Trofaiach;öffentl.;16;325;202;123
VS;611111;Volksschule Pestalozzi-Leoben;1679033.43,6003349.17;Kerpelystraße 13;8700;Leoben;öffentl.;12;202;92;110
VS;611121;Volksschule;1680768.21,6000898.45;Teichgasse 3;8700;Leoben;öffentl.;8;143;77;66
VS;611131;Volksschule;1680384.39,6002474.74;Leitendorf, Fröbelgasse 3;8700;Leoben;öffentl.;8;127;62;65
VS;611151;Volksschule Seegraben;1681198.53,6005837.38;Proleberstraße 4;8700;Leoben;öffentl.;8;143;75;68
VS;611171;Volksschule;1679736.72,6004538.9;Erzherzog Johann-Straße 1;8700;Leoben;öffentl.;12;246;136;110
VS;611191;Volksschule;1650607.9,6007507.05;Schulgasse 1;8774;Mautern in Steiermark;öffentl.;4;55;33;22
VS;611201;Volksschule;1687719.64,6007105.88;Schulstraße 8;8712;Niklasdorf;öffentl.;5;79;45;34
VS;611211;Volksschule;1684767.52,6007343.44;Dorfstraße 16;8712;Proleb;öffentl.;4;72;31;41
VS;611241;Volksschule;1672240.11,5997259.48;Schulgasse 1;8770;Sankt Michael in Obersteiermark;öffentl.;8;120;65;55
