type;skz;desc;coords;street;zip;city;keeper;classes;pupils;male;female
NMSH;325082;Mittelschule;1677128,6218791.95;Am Schulberg 5;3931;Schweiggers;öffentl.;5;107;57;50
NMSH;325092;Mittelschule;1688639.47,6208329.72;Schulgasse 24;3910;Zwettl-Niederösterreich;öffentl.;12;276;183;93
VS;325101;Volksschule;1700279.67,6204824;Friedersbach 86;3533;Zwettl-Niederösterreich;öffentl.;2;27;9;18
NMSH;325102;Private Mittelschule des Vereins für Franziskanische Bildung;1688722.43,6208617.54;Klosterstraße 10;3910;Zwettl-Niederösterreich;privat;8;129;79;50
VS;325111;Volksschule;1714838.49,6228206.64;Hauptstraße 48;3800;Göpfritz an der Wild;öffentl.;4;62;33;29
NMSH;325112;Mittelschule;1691865.1,6210132.95;Stift Zwettl 12;3910;Zwettl-Niederösterreich;öffentl.;11;219;54;165
VS;325121;Volksschule;1688071.31,6190505.96;Grafenschlag 100;3912;Grafenschlag;öffentl.;2;28;14;14
NMSH;325122;Mittelschule;1686321.46,6169820.2;Weinsbergstraße 2;3664;Martinsberg;öffentl.;4;63;29;34
VS;325151;Volksschule;1665072.82,6202635.36;Arbesbacherstraße 67;3920;Groß Gerungs;öffentl.;9;146;81;65
VS;325161;Volksschule;1688927.46,6219862.64;Großglobnitz 50;3910;Zwettl-Niederösterreich;öffentl.;2;33;20;13
VS;325171;Volksschule;1690824.61,6197118.85;Großgöttfritz 60;3913;Großgöttfritz;öffentl.;3;52;28;24
VS;325201;Volksschule;1683426.44,6168117.7;Gutenbrunn 120;3665;Gutenbrunn;öffentl.;1;11;4;7
VS;325221;Volksschule;1680741.84,6205371.43;Jahrings 45;3910;Zwettl-Niederösterreich;öffentl.;1;12;8;4
VS;325261;Volksschule Schulverband Leitung: 325381;1694353.34,6171972.69;Kirchschlag 63;3631;Kirchschlag;öffentl.;3;48;28;20
VS;325281;Volksschule;1703849.23,6176805.24;Kottes, Schulstraße 15;3623;Kottes-Purk;öffentl.;3;49;20;29
VS;325291;Volksschule;1656918.34,6202800.04;Langschlag 115;3921;Langschlag;öffentl.;4;71;35;36
VS;325311;Volksschule Zwettl;1679463.49,6198585.96;Rappottenstein, Marbach am Walde 2;3911;Zwettl-Niederösterreich;öffentl.;1;11;4;7
VS;325321;Volksschule;1686415.81,6169472.1;Kirchengasse 1/2;3664;Martinsberg;öffentl.;2;43;27;16
BMHSW;325419;Private Höhere Lehranstalt für wirtschaftliche Berufe des Vereins für Franziskanische Bildung;1688715.53,6208540.34;Klosterstraße 10;3910;Zwettl-Niederösterreich;privat;6;126;12;114
