type;skz;desc;coords;street;zip;city;keeper;classes;pupils;male;female;lt_type;lt_skz;lt_desc;lt_ipub_desc;lt_street;lt_zip;lt_city;count
VS;621061;Volksschule;1719117.21,6024329.79;Schulplatz 3;8650;Kindberg;öffentl.;9;169;83;86;SS;621013;Allgemeine Sonderschule;Sonderschulen;Bürstadtstraße 5;8670;Krieglach;0
VS;621071;Volksschule;1697651.01,6008740.41;Knottingerstraße 17;8600;Bruck an der Mur;öffentl.;5;91;54;37;AHS;621016;Bundesgymnasium und Bundesrealgymnasium;AHS-Unterstufe;Keplerstraße 2;8600;Bruck an der Mur;11
VS;621071;Volksschule;1697651.01,6008740.41;Knottingerstraße 17;8600;Bruck an der Mur;öffentl.;5;91;54;37;NMSH;621022;Mittelschule;Neue Mittelschule an Hauptschulen;Kirchplatz 4;8600;Bruck an der Mur;8
VS;621071;Volksschule;1697651.01,6008740.41;Knottingerstraße 17;8600;Bruck an der Mur;öffentl.;5;91;54;37;NMSH;601072;Mittelschule (Albert Schweitzer);Neue Mittelschule an Hauptschulen;Grieskai 62;8020;Graz;0
VS;621081;Volksschule Pischk;1701793.75,6009198.35;Im Glanzgraben 5;8600;Bruck an der Mur;öffentl.;1;17;9;8;NMSH;621022;Mittelschule;Neue Mittelschule an Hauptschulen;Kirchplatz 4;8600;Bruck an der Mur;0
VS;621081;Volksschule Pischk;1701793.75,6009198.35;Im Glanzgraben 5;8600;Bruck an der Mur;öffentl.;1;17;9;8;AHS;621016;Bundesgymnasium und Bundesrealgymnasium;AHS-Unterstufe;Keplerstraße 2;8600;Bruck an der Mur;0
VS;621091;Volksschule;1699913.01,6011800.77;Wiener Straße 77;8600;Bruck an der Mur;öffentl.;8;115;61;54;NMSH;621022;Mittelschule;Neue Mittelschule an Hauptschulen;Kirchplatz 4;8600;Bruck an der Mur;9
VS;621091;Volksschule;1699913.01,6011800.77;Wiener Straße 77;8600;Bruck an der Mur;öffentl.;8;115;61;54;AHS;621016;Bundesgymnasium und Bundesrealgymnasium;AHS-Unterstufe;Keplerstraße 2;8600;Bruck an der Mur;8
VS;621091;Volksschule;1699913.01,6011800.77;Wiener Straße 77;8600;Bruck an der Mur;öffentl.;8;115;61;54;NMSH;621092;Mittelschule;Neue Mittelschule an Hauptschulen;Niederdorf 85;8611;Tragöß-Sankt Katharein;0
VS;621091;Volksschule;1699913.01,6011800.77;Wiener Straße 77;8600;Bruck an der Mur;öffentl.;8;115;61;54;NMSH;621092;Mittelschule;Sonderschulen;Niederdorf 85;8611;Tragöß-Sankt Katharein;0
VS;621101;Volksschule Krieglach;1732080.03,6031623.32;Bürstadtstraße 5;8670;Krieglach;öffentl.;11;201;109;92;NMSH;621032;Mittelschule (Peter Rosegger);Neue Mittelschule an Hauptschulen;Steinfeldstraße 8;8670;Krieglach;29
VS;621101;Volksschule Krieglach;1732080.03,6031623.32;Bürstadtstraße 5;8670;Krieglach;öffentl.;11;201;109;92;AHS;621036;Bundesgymnasium und Bundesrealgymnasium;AHS-Unterstufe;Roseggergasse 10;8680;Mürzzuschlag;7
VS;621121;Volksschule;1726220.33,6029599.74;Mitterdorf im Mürztal, Feldgasse 15;8662;Sankt Barbara im Mürztal;öffentl.;5;88;44;44;NMSH;621152;Mittelschule Sankt Barbara;Neue Mittelschule an Hauptschulen;Mitterdorf im Mürztal, Schulstraße 6;8662;Sankt Barbara im Mürztal;11
VS;621121;Volksschule;1726220.33,6029599.74;Mitterdorf im Mürztal, Feldgasse 15;8662;Sankt Barbara im Mürztal;öffentl.;5;88;44;44;AHS;621036;Bundesgymnasium und Bundesrealgymnasium;AHS-Unterstufe;Roseggergasse 10;8680;Mürzzuschlag;8
VS;621121;Volksschule;1726220.33,6029599.74;Mitterdorf im Mürztal, Feldgasse 15;8662;Sankt Barbara im Mürztal;öffentl.;5;88;44;44;NMSH;621152;Mittelschule Sankt Barbara;Sonderschulen;Mitterdorf im Mürztal, Schulstraße 6;8662;Sankt Barbara im Mürztal;0
VS;621151;Volksschule Langenwang;1738585.73,6035394.04;Bahnhofstraße 4;8665;Langenwang;öffentl.;8;131;72;59;NMSH;621042;Mittelschule;Neue Mittelschule an Hauptschulen;Hochschloss-Straße 1;8665;Langenwang;23
VS;621151;Volksschule Langenwang;1738585.73,6035394.04;Bahnhofstraße 4;8665;Langenwang;öffentl.;8;131;72;59;AHS;621036;Bundesgymnasium und Bundesrealgymnasium;AHS-Unterstufe;Roseggergasse 10;8680;Mürzzuschlag;7
VS;621151;Volksschule Langenwang;1738585.73,6035394.04;Bahnhofstraße 4;8665;Langenwang;öffentl.;8;131;72;59;NMSH;621152;Mittelschule Sankt Barbara;Neue Mittelschule an Hauptschulen;Mitterdorf im Mürztal, Schulstraße 6;8662;Sankt Barbara im Mürztal;0
VS;621161;Toni-Schruf-Volksschule;1744471.52,6041710;Mariazellerstraße 7;8680;Mürzzuschlag;öffentl.;9;190;97;93;AHS;621036;Bundesgymnasium und Bundesrealgymnasium;AHS-Unterstufe;Roseggergasse 10;8680;Mürzzuschlag;23
VS;621161;Toni-Schruf-Volksschule;1744471.52,6041710;Mariazellerstraße 7;8680;Mürzzuschlag;öffentl.;9;190;97;93;NMSH;621132;Mittelschule (Peter Rosegger);Neue Mittelschule an Hauptschulen;Roseggergasse 2;8680;Mürzzuschlag;10
VS;621161;Toni-Schruf-Volksschule;1744471.52,6041710;Mariazellerstraße 7;8680;Mürzzuschlag;öffentl.;9;190;97;93;VS;621161;Toni-Schruf-Volksschule;Wiederholung der Schulstufe im gleichen Schultyp;Mariazellerstraße 7;8680;Mürzzuschlag;0
VS;621161;Toni-Schruf-Volksschule;1744471.52,6041710;Mariazellerstraße 7;8680;Mürzzuschlag;öffentl.;9;190;97;93;NMSH;621142;Mittelschule;Neue Mittelschule an Hauptschulen;Hauptstraße 19;8692;Neuberg an der Mürz;0
VS;621171;Volksschule;1700497.65,6012538.2;Diemlach, Gustav-Kramer-Straße 27;8605;Kapfenberg;öffentl.;5;82;31;51;NMSH;621052;Mittelschule;Neue Mittelschule an Hauptschulen;Schinitzgasse 15;8605;Kapfenberg;12
VS;621171;Volksschule;1700497.65,6012538.2;Diemlach, Gustav-Kramer-Straße 27;8605;Kapfenberg;öffentl.;5;82;31;51;AHS;621026;Bundesgymnasium, Bundesrealgymnasium und Bundes-Oberstufenrealgymnasium;AHS-Unterstufe;Wiener Straße 123;8605;Kapfenberg;0
VS;621171;Volksschule;1700497.65,6012538.2;Diemlach, Gustav-Kramer-Straße 27;8605;Kapfenberg;öffentl.;5;82;31;51;NMSH;910112;Musikmittelschule I;Neue Mittelschule an Hauptschulen;Wendstattgasse 5/I;1100;Wien;0
VS;621171;Volksschule;1700497.65,6012538.2;Diemlach, Gustav-Kramer-Straße 27;8605;Kapfenberg;öffentl.;5;82;31;51;AHS;621016;Bundesgymnasium und Bundesrealgymnasium;AHS-Unterstufe;Keplerstraße 2;8600;Bruck an der Mur;0
VS;621181;Volksschule;1705314.95,6016710.92;Hafendorf 1;8605;Kapfenberg;öffentl.;6;86;46;40;AHS;621026;Bundesgymnasium, Bundesrealgymnasium und Bundes-Oberstufenrealgymnasium;AHS-Unterstufe;Wiener Straße 123;8605;Kapfenberg;15
VS;621181;Volksschule;1705314.95,6016710.92;Hafendorf 1;8605;Kapfenberg;öffentl.;6;86;46;40;NMSH;621062;Mittelschule (Dr. Theodor Körner);Neue Mittelschule an Hauptschulen;Schirmitzbühel, Lannergasse 1;8605;Kapfenberg;8
VS;621191;Dr.-Karl-Renner-Volksschule;1702813.81,6015669.66;Otto-Hauberger-Straße 54;8605;Kapfenberg;öffentl.;4;74;40;34;NMSH;621062;Mittelschule (Dr. Theodor Körner);Neue Mittelschule an Hauptschulen;Schirmitzbühel, Lannergasse 1;8605;Kapfenberg;7
VS;621191;Dr.-Karl-Renner-Volksschule;1702813.81,6015669.66;Otto-Hauberger-Straße 54;8605;Kapfenberg;öffentl.;4;74;40;34;AHS;621026;Bundesgymnasium, Bundesrealgymnasium und Bundes-Oberstufenrealgymnasium;AHS-Unterstufe;Wiener Straße 123;8605;Kapfenberg;7
VS;621191;Dr.-Karl-Renner-Volksschule;1702813.81,6015669.66;Otto-Hauberger-Straße 54;8605;Kapfenberg;öffentl.;4;74;40;34;NMSH;621102;Mittelschule;Neue Mittelschule an Hauptschulen;Parkstraße 7;8641;Sankt Marein im Mürztal;0
