type;skz;desc;coords;street;zip;city;keeper;classes;pupils;male;female;score;AHS-Unterstufe;Neue Mittelschule an AHS;Neue Mittelschule an Hauptschulen;Sonderschulen;Sonst. allgemeinbild. (Statut)Schulen;Wiederholung der Schulstufe im gleichen Schultyp
VS;502111;Volksschule;1457794.79,6063855.66;Sankt Jakob am Thurn, Dorf 29;5412;Puch bei Hallein;öffentl.;2;35;17;18;0.1530612244897959;3;;1;;;
VS;702291;Volksschule;1228057.18,5988840.46;Schulweg 4;6421;Rietz;öffentl.;7;117;49;68;0.1526251526251526;10;;14;;;
VS;911141;Volksschule;1831652.22,6132529.97;Pantucekgasse 13;1110;Wien;öffentl.;12;234;120;114;0.1526251526251526;20;;38;;;1
VS;611171;Volksschule;1679736.72,6004538.9;Erzherzog Johann-Straße 1;8700;Leoben;öffentl.;12;246;136;110;0.1524390243902439;21;;4;;;1
VS;318141;Volksschule;1780504.95,6042260.7;Markt 300;2880;Kirchberg am Wechsel;öffentl.;8;129;69;60;0.15227021040974528;11;;22;;;1
VS;321351;Volksschule II;1787336.74,6160340.97;Frauentorgasse 62-64;3430;Tulln an der Donau;öffentl.;13;258;127;131;0.15227021040974528;22;;41;;;
VS;208411;Volksschule Völkermarkt-Tainach;1618206.6,5882612.96;Tainach 43;9121;Völkermarkt;öffentl.;4;47;22;25;0.1519756838905775;4;;1;;;1
VS;704291;Volksschule;1399782.24,6028747.43;Dorfstraße 17;6393;St. Ulrich am Pillersee;öffentl.;5;94;46;48;0.1519756838905775;8;;14;;;
VS;109411;Volksschule;1804685.69,5989030.87;Schulgasse 4;7400;Oberwart;öffentl.;18;306;169;137;0.15172735760971054;26;;34;;;1
VS;207071;Volksschule Damtschach;1554354.97,5881658.16;Schulweg 17;9241;Wernberg;öffentl.;8;118;63;55;0.15133171912832927;10;;12;;;1
VS;610431;Volksschule;1731525.98,5903870.07;Gemeindehausstraße 7;8435;Wagna;öffentl.;10;189;89;100;0.1511715797430083;16;;11;;1;
VS;410101;Volksschule;1611625.03,6142212.29;Kirchenplatz 4;4470;Enns;öffentl.;23;521;291;230;0.15080888401425827;44;;63;;;1
VS;210061;Volksschule;1568855.77,5897775.1;Schulhausgasse 5;9560;Feldkirchen in Kärnten;öffentl.;18;309;174;135;0.15025427646786868;26;;50;1;;
VS;208031;Volksschule;1647338.87,5874830.62;Bahnhofstraße 18;9150;Bleiburg;öffentl.;8;119;68;51;0.15006002400960383;10;;13;;;
VS;601381;Volksschule Strassgang;1714366.62,5945510.4;Kärntner Straße 431;8054;Graz-Strassgang;öffentl.;12;298;149;149;0.14980824544582932;25;9;27;;;
VS;107201;Volksschule;1877314.31,6106586.35;Schulgasse 2;7111;Parndorf;öffentl.;16;252;131;121;0.14880952380952378;21;;37;;;
VS;108551;Volksschule Weingraben;1821456.41,6026476.43;Landseergasse 2;7374;Weingraben;öffentl.;1;12;7;5;0.14880952380952378;1;;2;;;
VS;205301;Volksschule;1590746.41,5899375.76;Hauptplatz 17;9556;Liebenfels;öffentl.;8;132;72;60;0.14880952380952378;11;;17;;;
VS;207551;Volksschule;1562780.92,5878936.13;Bäckerteichstraße 8;9220;Velden am Wörther See;öffentl.;8;144;81;63;0.14880952380952378;12;;13;;;
VS;208151;Volksschule Heiligengrab;1647659.22,5879030.91;Schilterndorf 22;9150;Bleiburg;öffentl.;3;36;20;16;0.14880952380952378;3;;2;;;
VS;305331;Volksschule;1664712.26,6128634.14;Marktplatz 2;3304;St. Georgen am Ybbsfelde;öffentl.;8;144;79;65;0.14880952380952378;12;;17;;;
VS;317031;Volksschule;1802817.14,6128867.67;Schulgasse 1;2384;Breitenfurt bei Wien;öffentl.;9;180;89;91;0.14880952380952378;15;1;10;;;1
VS;409041;Volksschule;1575432.33,6057069.99;Hinterstoder 35;4573;Hinterstoder;öffentl.;2;24;12;12;0.14880952380952378;2;;1;1;;
VS;601021;Volksschule Andritz;1716935.86,5959639.02;Stattegger Straße 26;8045;Graz-Andritz;öffentl.;20;408;226;182;0.14880952380952378;34;1;15;1;;3
VS;621041;Volksschule;1699483.97,6009088.4;Dr.-Theodor-Körner-Straße 15;8600;Bruck an der Mur;öffentl.;9;168;90;78;0.14880952380952378;14;;23;1;;1
VS;801081;Volksschule;1092675.71,5968747.52;Obdorf;6700;Bludenz;öffentl.;8;132;70;62;0.14880952380952378;11;;8;;;
VS;911041;Volksschule;1826837.14,6135630.37;Herderplatz 1;1110;Wien;öffentl.;14;336;161;175;0.14880952380952378;28;;31;1;;
VS;915023;Volks- und Mittelschule für sehbehinderte Kinder;1818398.61,6140039.91;Zinckgasse 12-14;1150;Wien;öffentl.;15;216;133;83;0.14880952380952378;18;2;5;4;;1
VS;501131;Volksschule Mülln;1450674.36,6074124.81;Augustinergasse 16;5020;Salzburg;öffentl.;11;253;132;121;0.1482213438735178;21;;5;;;1
VS;503011;Volksschule;1454205.48,6063890.16;Schulweg 28;5081;Anif;öffentl.;9;193;108;85;0.1480384900074019;16;;3;;;
VS;702141;Volksschule Unterstadt;1195466.8,5980518.79;Hinterseberweg 3;6460;Imst;öffentl.;9;157;78;79;0.1478616924476797;13;;25;1;;1
VS;617501;Volksschule;1739452.24,5977796.65;Europaallee 5;8160;Weiz;öffentl.;13;266;135;131;0.14769065520945218;22;;30;1;;1
VS;920121;Volksschule;1822771.05,6148308.37;Robert-Blum-Gasse 2;1200;Wien;öffentl.;18;399;203;196;0.14769065520945218;33;;33;;;1
VS;409261;Volksschule Kreativ-Volksschule Schlierbach;1572565.44,6096511.59;Stiftsstraße 3;4553;Schlierbach;öffentl.;5;97;58;39;0.14727540500736375;8;;13;;;
VS;623381;Volksschule;1766819.16,5910396.32;Straden 7;8345;Straden;öffentl.;6;97;54;43;0.14727540500736375;8;;15;1;;
VS;409111;Volksschule;1572812.85,6115291.1;Schulstraße 7;4550;Kremsmünster;öffentl.;10;182;87;95;0.14717425431711145;15;;26;;;1
VS;107101;Volksschule;1870828.44,6066877.04;Zickhöhe 25;7142;Illmitz;öffentl.;5;85;33;52;0.14705882352941174;7;;8;;;
VS;903041;Volksschule;1824467.85,6138740.43;Kleistgasse 12;1030;Wien;öffentl.;13;255;126;129;0.14705882352941174;21;;18;1;2;2
VS;705271;Volksschule;1334197.94,6018677.69;Biochemiestraße 43b;6250;Kundl;öffentl.;12;231;123;108;0.1468769325912183;19;;32;1;;
VS;606211;Volksschule;1732330.54,5956943.25;Hönigtal, Schulstraße 19;8301;Kainbach bei Graz;öffentl.;8;146;82;64;0.14677103718199605;12;;12;;;
VS;620271;Volksschule;1647129.03,5976467.87;Volksschulstraße 36;8724;Spielberg;öffentl.;8;146;68;78;0.14677103718199605;12;;20;;;
VS;918071;Private Volksschule der Schulstiftung der Erzdiözese Wien;1818247.15,6144298.16;Antonigasse 72;1180;Wien;privat;12;219;125;94;0.14677103718199605;18;;21;;;
VS;907021;Volksschule;1820517.68,6140835.56;Stiftgasse 35;1070;Wien;öffentl.;8;183;92;91;0.14637002341920372;15;1;1;;;1
VS;306351;Volksschule;1813330.07,6109483.02;Karl-Hilber-Straße 1;2514;Traiskirchen;öffentl.;17;354;189;165;0.1462873284907183;29;;54;;;
VS;909011;Volksschule;1820523.74,6144519.13;Galileigasse 5;1090;Wien;öffentl.;11;232;126;106;0.146243842364532;19;1;15;;;2
VS;403031;Volksschule 5 Mauth;1559834.36,6135782.06;Kopernikusstraße 1b;4600;Wels;öffentl.;15;306;164;142;0.14589169000933705;25;;23;;;1
VS;204281;Volksschule;1596898.27,5889988.89;Ratzendorfer Straße 2;9063;Maria Saal;öffentl.;10;147;87;60;0.14577259475218657;12;;14;2;;
VS;417031;Volksschule;1510434.16,6122524.1;Hausruckstraße 18;4843;Ampflwang im Hausruckwald;öffentl.;9;147;65;82;0.14577259475218657;12;;21;;;
VS;201241;Volksschule 22 Klagenfurt;1584594.19,5889651.45;Ponfeldstraße 91;9061;Klagenfurt am Wörthersee;öffentl.;4;86;39;47;0.14534883720930233;7;;3;;;
VS;410281;Volksschule;1589584.18,6130947.55;St. Marien 36;4502;St. Marien;öffentl.;10;197;98;99;0.14503263234227698;16;;4;;;2
VS;922331;Volksschule;1826598.77,6145884.09;Leonhard-Bernstein-Straße 2;1220;Wien;öffentl.;8;185;91;94;0.14478764478764478;15;10;4;;1;
VS;921021;Volksschule;1823860.57,6153056.14;Tomaschekstraße 44;1210;Wien;öffentl.;13;309;152;157;0.1444752658344891;25;;34;;;1
VS;606121;Volksschule;1723613.83,5942469.7;Schulstraße 3;8077;Gössendorf;öffentl.;13;223;120;103;0.14413837283792438;18;;19;;1;
VS;306041;Volksschule;1807366.67,6108458.19;Pfarrplatz 1;2500;Baden;öffentl.;17;360;160;200;0.14384920634920634;29;;33;;;
VS;621021;Volksschule;1715112.75,6020868.28;Allerheiligen 31;8643;Kindberg;öffentl.;7;112;53;59;0.14349489795918366;9;;15;;;
VS;409091;Volksschule 2;1572469.77,6091043.68;Adalbert - Stifterstraße 4;4560;Kirchdorf an der Krems;öffentl.;9;137;80;57;0.14337851929092804;11;;16;;;1
VS;409351;Volksschule;1586918.91,6087975.9;Schulstraße 10;4591;Molln;öffentl.;9;162;81;81;0.1432980599647266;13;;25;;;
VS;501181;Volksschule Schallmoos;1453374.78,6077376.7;Meierhofweg 4;5020;Salzburg;öffentl.;9;162;74;88;0.1432980599647266;13;;7;2;;1
VS;201201;Praxisvolksschule der Pädagogischen Hochschule in Kärnten (201660);1590669.57,5878353.34;Hubertusstraße 1;9020;Klagenfurt am Wörthersee;öffentl.;10;187;93;94;0.1432391138273491;15;;24;;;
VS;104241;Volksschule;1798552.43,5971278.62;Kirchengasse 44;7533;Ollersdorf im Burgenland;öffentl.;1;25;13;12;0.14285714285714285;2;;3;;;
VS;205571;Volksschule;1589451.74,5903419.28;Sörg 20;9556;Liebenfels;öffentl.;2;25;14;11;0.14285714285714285;2;;2;;;
VS;704211;Volksschule;1350351.61,6012991.93;Penningdörfl 19;6361;Hopfgarten im Brixental;öffentl.;2;25;14;11;0.14285714285714285;2;;2;;;
VS;404051;Volksschule Braunau-Stadt;1451870.07,6149693.33;Auf der Schanz 12;5280;Braunau am Inn;öffentl.;10;163;90;73;0.14241893076248902;13;;15;;;
VS;501021;Volksschule Gnigl;1455137.27,6075890.45;Minnesheimstraße 33;5023;Salzburg;öffentl.;15;301;154;147;0.14238253440911247;24;;16;;;
VS;922391;Volksschule;1831502.25,6150528.12;Wagramer Straße 224B;1220;Wien;öffentl.;9;201;113;88;0.1421464108031272;16;8;6;;;
VS;309391;Volksschule;1677043.14,6239417.89;Stadtpark 1;3943;Schrems;öffentl.;9;176;92;84;0.14204545454545453;14;;24;;;1
VS;103041;Volksschule;1831140.7,6086742.66;Schulgasse 10;7053;Hornstein;öffentl.;8;126;63;63;0.14172335600907027;10;;3;;;
VS;804071;Volksschule;1066968.94,5983588.03;Gisingen-Oberau, Hämmerlestraße 2;6805;Feldkirch-Gisingen;öffentl.;12;227;119;108;0.14159848961611077;18;;31;2;;1
VS;318181;Volksschule;1790484.95,6059977.6;Mühlfeld, Mühlfeldstraße 4;2620;Neunkirchen;öffentl.;8;164;86;78;0.1415505226480836;13;;19;1;;1
VS;407081;Volksschule I;1536865.09,6093134.09;Traundorf, Annastraße 4;4810;Gmunden;öffentl.;9;139;78;61;0.1413155190133607;11;;13;;;
VS;405041;Volksschule Nord;1560911.91,6158672.52;Starhembergstraße 1;4070;Eferding;öffentl.;10;177;95;82;0.14124293785310735;14;;19;;;1
VS;307221;Volksschule;1849300.96,6125740.65;Springholzgasse 4;2401;Fischamend;öffentl.;13;253;133;120;0.1411631846414455;20;;20;;;
VS;312261;Volksschule Schule für Lebendiges Lernen des Vereins für Lebendiges und Ganzheitliches Lernen;1817797.1,6163583.74;Dammstraße 9;2100;Korneuburg;privat;4;38;18;20;0.14097744360902253;3;;3;;1;
VS;503171;Volksschule;1436912.88,6061259.16;Salzburgerstraße 129;5084;Großgmain;öffentl.;8;114;61;53;0.14097744360902253;9;;13;1;;
VS;617451;Volksschule;1752277.22,5950056.62;St. Margarethen an der Raab 254;8321;St. Margarethen an der Raab;öffentl.;9;190;91;99;0.14097744360902253;15;;26;;1;
VS;703601;Volksschule;1270753.45,5975789.43;Römerstraße 9;6082;Patsch;öffentl.;2;38;18;20;0.14097744360902253;3;;1;;;
VS;707281;Volksschule Michael Gamper Lienz;1420419.42,5913596.99;Michael Gamper-Straße 5;9900;Lienz;öffentl.;8;114;59;55;0.14097744360902253;9;;22;1;;
VS;416281;Volksschule;1576308.22,6165618.67;Kirchenplatz 3;4111;Walding;öffentl.;9;165;77;88;0.14069264069264067;13;;18;;;
VS;612571;Volksschule;1547404.12,6014724.19;Gröbming 355;8962;Gröbming;öffentl.;9;165;74;91;0.14069264069264067;13;;19;;1;1
VS;611131;Volksschule;1680384.39,6002474.74;Leitendorf, Fröbelgasse 3;8700;Leoben;öffentl.;8;127;62;65;0.14060742407199098;10;;4;;;1
VS;306071;Volksschule;1805195.92,6101817.44;Raulestraße 6;2540;Bad Vöslau;öffentl.;12;255;128;127;0.14005602240896356;20;;19;1;;1
VS;922301;Volksschule;1833615.88,6142946.86;Hammerfestweg 1;1220;Wien;öffentl.;18;408;203;205;0.14005602240896356;32;15;27;1;;1
VS;610091;Volksschule;1731396.8,5911833.07;Schulstraße 5;8431;Gralla;öffentl.;8;115;70;45;0.13975155279503104;9;;4;;;
VS;313281;Josef-Rucker-Volksschule;1745338.71,6185797.43;Auböck-Allee 12;3550;Langenlois;öffentl.;13;243;143;100;0.13962375073486183;19;;28;1;;2
VS;201231;Volksschule 21;1600929.54,5881943.78;Gutendorfer Straße 36;9020;Klagenfurt am Wörthersee;öffentl.;4;64;31;33;0.13950892857142855;5;;4;;;
VS;802291;Volksschule Mittelweiherburg;1079490.46,6021251.3;Flurstraße 10;6971;Hard;öffentl.;13;244;125;119;0.13905152224824355;19;;35;1;;1
VS;902071;Volksschule;1824019.19,6143316.51;Novaragasse 30;1020;Wien;öffentl.;23;451;245;206;0.1385809312638581;35;1;28;;;
VS;401321;Volksschule 26 Harbachschule;1589884.58,6161690.81;Keplerstraße 11;4040;Linz;öffentl.;13;245;146;99;0.13848396501457724;19;;27;1;;1
VS;303011;Volksschule;1645107.01,6099701.84;Plenkerstraße 8a;3340;Waidhofen an der Ybbs;öffentl.;11;194;94;100;0.13807069219440352;15;;18;;;
VS;107171;Volksschule;1900515.88,6096148.82;Lindengasse 26;2425;Nickelsdorf;öffentl.;4;91;48;43;0.13736263736263735;7;;8;;;
VS;209291;Volksschule St. Michael;1646816.81,5915331.62;St. Michael, Pollheimerstraße 14;9411;Wolfsberg;öffentl.;8;117;63;54;0.13736263736263735;9;;19;;;
VS;302201;Private Volksschule International School St. Pölten des Vereins Trägerverein International School St. Pölten;1738944.71,6140443.98;Linzer Straße 37;3100;St. Pölten;privat;2;39;20;19;0.13736263736263735;3;;1;;;
VS;311111;Volksschule;1742811.15,6219198.95;Ferdinand-Kurz-Gasse 24;3580;Horn;öffentl.;12;247;130;117;0.13736263736263735;19;;34;1;;2
VS;502061;Volksschule;1465679.1,6040803.22;Markt 30;5440;Golling an der Salzach;öffentl.;12;247;121;126;0.13736263736263735;19;;39;2;;
VS;506171;Volksschule;1425658.14,6001246.82;Anton-Faistauer-Platz 8;5751;Maishofen;öffentl.;8;169;90;79;0.13736263736263735;13;;22;;;
VS;611151;Volksschule Seegraben;1681198.53,6005837.38;Proleberstraße 4;8700;Leoben;öffentl.;8;143;75;68;0.13736263736263735;11;;23;1;;
VS;620211;Volksschule;1600338.27,5992390.99;Wiesenweg 10;8764;Pusterwald;öffentl.;1;13;7;6;0.13736263736263735;1;;1;;;
VS;703481;Volksschule;1288466.58,5994788.88;Gnadenwald 51a;6069;Gnadenwald;öffentl.;3;39;21;18;0.13736263736263735;3;;3;;;
VS;703501;Volksschule II;1288116.71,5986080.02;Großvolderbergstraße 15;6111;Volders;öffentl.;1;13;6;7;0.13736263736263735;1;;1;;;
VS;704091;Volksschule;1353159.34,6015917.81;Marktgasse 22;6361;Hopfgarten im Brixental;öffentl.;8;156;87;69;0.13736263736263735;12;;24;;;
VS;707401;Volksschule Klausenberg;1409995.75,5907927.73;Klausen 18;9911;Assling;öffentl.;1;13;3;10;0.13736263736263735;1;;1;;;
VS;708281;Volksschule;1188350.92,6029069.17;Hofstatt 85;6600;Musau;öffentl.;1;13;6;7;0.13736263736263735;1;;1;;;
VS;601401;Peter-Rosegger-Volksschule;1713594.54,5950807.76;Löwegasse 8;8052;Graz-Wetzelsdorf;öffentl.;16;365;187;178;0.136986301369863;28;18;23;;;
VS;917061;Volksschule;1816933.8,6143460.06;Wichtelgasse 67;1170;Wien;öffentl.;13;300;141;159;0.1369047619047619;23;;22;;;2
VS;506301;Volksschule;1424043.22,5991450.52;Schüttdorf, Schulweg 3;5702;Zell am See;öffentl.;11;209;109;100;0.13670539986329458;16;;20;1;;
VS;202041;Volksschule 4;1539579.08,5877259.57;Neubaugasse 20;9500;Villach;öffentl.;9;170;90;80;0.13655462184873948;13;;19;;;1
VS;304071;Volksschule Bgm. Hans Barwitzius Volksschule;1806748.2,6072982.94;Hubertusgasse 25b;2700;Wiener Neustadt;öffentl.;10;210;118;92;0.1360544217687075;16;;15;;;1
VS;922031;Volksschule;1839720.42,6142589.08;Eßlinger Hauptstraße 97;1220;Wien;öffentl.;16;394;186;208;0.1359680928208847;30;51;5;1;;1
VS;202051;Volksschule 6;1541366.68,5877107.23;Heidenfeldstraße 26;9500;Villach;öffentl.;14;276;144;132;0.1358695652173913;21;;38;;;1
VS;922161;Private Volksschule des Vereins Vereinigung von Ordensschulen Österreichs;1828022.96,6144955.82;Schödlbergergasse 20;1220;Wien;privat;17;368;187;181;0.1358695652173913;28;11;8;;;
VS;910351;Volksschule;1819286.42,6134950.84;Hertha-Firnberg-Straße 12;1100;Wien;öffentl.;16;355;176;179;0.13581488933601607;27;;40;;;1
VS;623071;Volksschule I;1768484.42,5934190.39;Ringstraße 23;8330;Feldbach;öffentl.;12;237;129;108;0.13562386980108498;18;;35;1;;1
VS;410021;Volksschule;1577302.03,6132353.85;Allhaming 38;4511;Allhaming;öffentl.;4;66;27;39;0.13528138528138528;5;;2;;;1
VS;501251;Volksschule Abfalter;1456321.39,6073367.72;Dr.-Petter-Straße 21;5020;Salzburg;öffentl.;10;212;112;100;0.1347708894878706;16;;2;;1;
VS;407131;Volksschule;1541342.52,6096067.46;Hauptstraße 10;4816;Gschwandt;öffentl.;8;146;75;71;0.13454011741682972;11;;11;;;1
VS;921091;Volksschule;1831400.38,6152500.52;Herzmanovsky-Orlando-Gasse 11;1210;Wien;öffentl.;14;292;171;121;0.13454011741682972;22;1;40;;;
VS;407171;Volksschule Concordia;1515589.57,6059070.08;Bauer Straße 14;4820;Bad Ischl;öffentl.;12;213;123;90;0.13413816230717637;16;;28;;;1
VS;107281;Volksschule;1893444.91,6104300.41;Mühlgasse 42;2424;Zurndorf;öffentl.;7;107;60;47;0.13351134846461948;8;;20;;;
VS;506261;Volksschule Bahnhof;1428676.9,6012256.08;Josef-Riedler-Straße 7;5760;Saalfelden am Steinernen Meer;öffentl.;9;214;94;120;0.13351134846461948;16;;33;;;1
VS;318421;Volksschule;1785657.53,6059862.98;Stapfgasse 1;2630;Ternitz;öffentl.;8;134;70;64;0.13326226012793174;10;;16;;;
VS;905041;Volksschule;1820794.46,6137537.31;Stolberggasse 53;1050;Wien;öffentl.;9;201;96;105;0.13326226012793174;15;;22;;;1
VS;310321;Volksschule;1774860.65,6207345.34;Schulgasse 7;3714;Sitzendorf an der Schmida;öffentl.;4;94;51;43;0.1329787234042553;7;;1;;;
VS;406071;Volksschule;1616108.3,6168166.11;Hauptstraße 88;4232;Hagenberg im Mühlkreis;öffentl.;8;121;53;68;0.13282172373081463;9;;16;;;1
VS;307181;Volksschule;1854476.34,6105408.62;Schlossstraße 25;2453;Sommerein;öffentl.;6;108;43;65;0.13227513227513227;8;;5;;;
VS;307231;Volksschule;1835533.55,6111861.4;Wiener Straße 2a;2440;Gramatneusiedl;öffentl.;9;189;90;99;0.13227513227513227;14;;22;;;1
VS;506111;Volksschule;1419980.42,5986403.7;Schulstraße 3a;5710;Kaprun;öffentl.;7;108;58;50;0.13227513227513227;8;;20;;;
VS;803121;Volksschule;1088490,6007759.01;Kehlegg 42;6850;Dornbirn;öffentl.;2;27;16;11;0.13227513227513227;2;;2;;;
VS;401441;Volksschule 44 Montageschule Pichling;1599309.19,6147540.9;Rathfeldstraße 69;4033;Linz-Ebelsberg;öffentl.;13;257;149;108;0.132017787659811;19;;9;;;
VS;412321;Volksschule II;1501552.72,6143007.13;Waldmüllerstraße 6;4910;Ried im Innkreis;öffentl.;9;176;96;80;0.13189935064935066;13;;25;;;1
VS;407181;Volksschule;1547071.97,6101978.74;Kirchham 34;4656;Kirchham;öffentl.;7;122;59;63;0.13173302107728335;9;;19;;;
VS;803011;Volksschule;1084837.96,6010687.97;Edlach 6;6850;Dornbirn;öffentl.;13;258;136;122;0.13150609080841638;19;;25;1;;
VS;501151;Volksschule Parsch;1454562.51,6073588.12;Geissmayr Straße 1;5020;Salzburg;öffentl.;11;231;123;108;0.13141620284477426;17;;6;;;
VS;410031;Volksschule;1590600.75,6142106;Anton Bruckner Straße 10;4052;Ansfelden;öffentl.;15;299;163;136;0.13139034878165312;22;;38;;1;
VS;103131;Volksschule;1858354.33,6093084.61;Landsatzgasse 10;7083;Purbach am Neusiedler See;öffentl.;7;109;60;49;0.1310615989515072;8;;3;;;
VS;321291;Volksschule;1782254.92,6150031.87;Tullnerstraße 22;3443;Sieghartskirchen;öffentl.;13;287;150;137;0.13066202090592333;21;;22;;;1
VS;413061;Volksschule;1563731.4,6202975.65;Sternwaldstraße 24;4170;Haslach an der Mühl;öffentl.;8;123;70;53;0.13066202090592333;9;;14;;;1
VS;410191;Volksschule;1586015.65,6153744.26;Alhartingerweg 8;4060;Leonding;öffentl.;19;411;194;217;0.1303441084462982;30;;25;;;
VS;921301;Volksschule;1827933.15,6154690.18;Rittingergasse 29A;1210;Wien;öffentl.;12;274;143;131;0.1303441084462982;20;1;24;;1;2
VS;206351;Volksschule;1508847.01,5905277.41;Molzbichl 20;9701;Rothenthurn;öffentl.;5;96;48;48;0.13020833333333334;7;;2;;;
VS;921131;Volksschule;1826752.83,6149574.9;Mengergasse 33;1210;Wien;öffentl.;22;494;252;242;0.13013302486986694;36;;42;;;1
VS;401331;Volksschule 28 Dr.-Karl-Renner-Schule;1591409.33,6148532.09;Flötzerweg 61;4020;Linz;öffentl.;14;302;159;143;0.13008514664143803;22;;33;1;;1
VS;505121;Volksschule;1537823.82,5962500.02;Lasabergweg 6;5580;Tamsweg;öffentl.;11;206;106;100;0.1300277392510402;15;;32;;;
VS;905061;Volksschule;1819730.16,6138009.91;Am Hundsturm 18;1050;Wien;öffentl.;10;206;102;104;0.1300277392510402;15;;11;;;1
VS;502261;Volksschule Hallein-Neualm;1457435.91,6055917.41;Sikorastraße 11;5400;Hallein;öffentl.;12;220;110;110;0.12987012987012986;16;;23;;;1
VS;612011;Volksschule;1609413.97,6036930.87;Schulstraße 300;8911;Admont;öffentl.;7;110;64;46;0.12987012987012986;8;1;12;1;;
VS;316341;Volksschule II;1844299.23,6201852.13;Bahnzeile 1;2130;Mistelbach;öffentl.;11;234;120;114;0.12973137973137974;17;;30;;;1
VS;612231;Volksschule;1598923.03,6028304.4;Schulallee 20;8786;Rottenmann;öffentl.;8;138;76;62;0.12939958592132506;10;;29;;;
VS;911111;Volksschule;1828499.51,6133724.05;Wilhelm-Kreß-Platz 32;1110;Wien;öffentl.;27;635;340;295;0.1293588301462317;46;;56;;;1
VS;921101;Volksschule;1824381.76,6155289.99;Irenäusgasse 2;1210;Wien;öffentl.;17;374;200;174;0.12891520244461419;27;;43;;;2
VS;401341;Volksschule 30 Dr.Ernst Koref Schule;1590611.89,6152290.99;Ramsauerstraße 61;4020;Linz;öffentl.;15;319;157;162;0.12875055978504255;23;;21;;;1
VS;309461;Volksschule;1657972.74,6224855.09;Schubertstraße 209;3970;Weitra;öffentl.;8;111;63;48;0.12870012870012867;8;;15;3;;
VS;107131;Volksschule;1899211.8,6122788.14;Schulstraße 3;2421;Kittsee;öffentl.;14;264;140;124;0.128517316017316;19;;43;;;1
VS;201011;Volksschule 1;1591600.31,5881365.46;Lerchenfeldstraße 35;9020;Klagenfurt am Wörthersee;öffentl.;13;278;138;140;0.12846865364850973;20;;7;;;2
VS;401491;Volksschule 49;1590607.06,6160507.43;Kaltenhauserstraße 2;4040;Linz;öffentl.;10;195;92;103;0.1282051282051282;14;;8;;;2
VS;413211;Volksschule;1563004.52,6176069.34;Landshaager Straße 6;4113;St. Martin im Mühlkreis;öffentl.;10;195;105;90;0.1282051282051282;14;;27;;;
VS;705251;Volksschule;1353485.89,6037904.24;Langkampfnerstraße 23;6330;Kufstein;öffentl.;13;265;142;123;0.12803234501347707;19;;34;2;;
VS;202011;Volksschule 1;1541528.48,5879022.85;Khevenhüllergasse 16;9500;Villach;öffentl.;12;224;121;103;0.12755102040816324;16;;21;;;3
VS;503371;Volksschule;1455482.34,6096691.22;Schulstraße 14;5162;Obertrum am See;öffentl.;12;224;120;104;0.12755102040816324;16;;32;1;;1
VS;505111;Volksschule Seetal;1552544.18,5967037.16;Seetal 32;5580;Tamsweg;öffentl.;1;14;8;6;0.12755102040816324;1;;1;;;
VS;610391;Volksschule;1727441.68,5923153.88;Alte Reichsstraße 3b;8410;Wildon;öffentl.;10;210;107;103;0.12755102040816324;15;;37;;;
VS;611321;Volksschule;1633782.24,6015433.07;Wald 41;8781;Wald am Schoberpaß;öffentl.;1;14;7;7;0.12755102040816324;1;;2;;;
VS;703151;Volksschule;1266532.02,5980210.42;Bahnhofstraße 11;6161;Natters;öffentl.;4;70;39;31;0.12755102040816324;5;;2;;;
VS;704121;Volksschule Jodler;1389261.15,6024470.35;Winkl-Schattseite 128;6380;St. Johann in Tirol;öffentl.;1;14;7;7;0.12755102040816324;1;;1;;;
VS;702121;Volksschule Imst-Oberstadt;1195823.39,5981910.91;Franz-Xaver-Renn-Straße 20;6460;Imst;öffentl.;8;155;80;75;0.12672811059907832;11;;23;;;1
VS;903011;Volksschule;1826207.94,6139923.69;Dietrichgasse 36;1030;Wien;öffentl.;14;296;146;150;0.12668918918918917;21;;31;;;2
VS;415081;Volksschule;1603811.3,6110649.84;Sankt Bertholdallee 1;4451;Garsten;öffentl.;8;127;76;51;0.12654668166479188;9;;16;;;1
VS;617381;Volksschule;1750010.98,5968181.03;Prebuch 40;8211;Albersdorf-Prebuch;öffentl.;8;127;68;59;0.12654668166479188;9;;20;;;
VS;418201;Volksschule;1554106.51,6119884.01;Landstraße 20;4652;Steinerkirchen an der Traun;öffentl.;7;113;60;53;0.1264222503160556;8;;23;;;
VS;305061;Volksschule;1642131.59,6118688.19;Schulstraße 2;3361;Aschbach-Markt;öffentl.;9;184;97;87;0.1261645962732919;13;;24;;;
VS;915071;Volksschule;1818019.28,6137780;Ortnergasse 4;1150;Wien;öffentl.;10;213;122;91;0.12575452716297786;15;1;9;;;2
VS;202161;Volksschule 9;1538608.57,5881348.79;Hafnerstraße 7;9500;Villach;öffentl.;10;199;98;101;0.12562814070351758;14;;12;;;1
VS;610381;Volksschule;1727496.42,5911467.67;Schulweg 1;8434;Tillmitsch;öffentl.;8;128;81;47;0.1255580357142857;9;;9;;;
VS;620111;Volksschule Judenburg-Lindfeld;1632941.45,5969609.74;Lindfeldgasse 7;8750;Judenburg;öffentl.;7;128;74;54;0.1255580357142857;9;;16;;;1
